"Year","Natural_Increase","Net_Overseas_Migration"
1982,125132,102708
1983,132486,54995
1984,126583,59823
1985,126077,89321
1986,128427,110663
1987,126638,136060
1988,126327,172794
1989,126621,129478
1990,142586,97131
1991,139554,81669
1992,139703,51358
1993,138339,34822
1994,131945,55506
1995,130244,106864
1996,125240,97444
1997,122956,72402
1998,121521,88781
1999,122915,104210
2000,121831,111441
2001,118978,136076
2002,117024,110475
2003,118944,110104
2004,119133,106425
2005,134156,137009
2006,139793,182196
2007,153327,244030
2008,155794,315687
2009,159237,246900
2010,157978,172038
2011,156050,206240
2012,163064,240248
2013,158791,208379
2014,156565,182345
2015,148985,186730
2016,153212,243829
2017,142005,241661
2018,145721,252220
2019,139003,247620
2020,130926,-4957
2021,143012,6866
2022,108633,433150
2023,103184,541452
