"Year","State","Arrival"
2013,"New South Wales",89231
2013,"Victoria",74669
2013,"Queensland",90798
2013,"South Australia",22399
2013,"Western Australia",36386
2013,"Tasmania",11620
2013,"Northern Territory",15725
2013,"Australian Capital Territory",19241
2014,"New South Wales",88129
2014,"Victoria",73951
2014,"Queensland",85417
2014,"South Australia",21707
2014,"Western Australia",31558
2014,"Tasmania",10815
2014,"Northern Territory",14779
2014,"Australian Capital Territory",17531
2015,"New South Wales",90858
2015,"Victoria",78255
2015,"Queensland",88883
2015,"South Australia",21386
2015,"Western Australia",29540
2015,"Tasmania",11832
2015,"Northern Territory",14858
2015,"Australian Capital Territory",19642
2016,"New South Wales",104488
2016,"Victoria",92027
2016,"Queensland",105390
2016,"South Australia",24143
2016,"Western Australia",31272
2016,"Tasmania",14085
2016,"Northern Territory",16538
2016,"Australian Capital Territory",23017
2017,"New South Wales",112397
2017,"Victoria",95842
2017,"Queensland",119505
2017,"South Australia",27248
2017,"Western Australia",33684
2017,"Tasmania",16094
2017,"Northern Territory",17210
2017,"Australian Capital Territory",25221
2018,"New South Wales",115009
2018,"Victoria",98630
2018,"Queensland",124207
2018,"South Australia",29395
2018,"Western Australia",36327
2018,"Tasmania",17417
2018,"Northern Territory",17590
2018,"Australian Capital Territory",26169
2019,"New South Wales",116302
2019,"Victoria",98782
2019,"Queensland",127808
2019,"South Australia",30740
2019,"Western Australia",39962
2019,"Tasmania",16999
2019,"Northern Territory",18757
2019,"Australian Capital Territory",26991
2020,"New South Wales",77389
2020,"Victoria",57615
2020,"Queensland",98152
2020,"South Australia",24072
2020,"Western Australia",31017
2020,"Tasmania",13875
2020,"Northern Territory",14593
2020,"Australian Capital Territory",21279
2021,"New South Wales",107830
2021,"Victoria",89590
2021,"Queensland",147605
2021,"South Australia",34574
2021,"Western Australia",47059
2021,"Tasmania",19313
2021,"Northern Territory",19528
2021,"Australian Capital Territory",27632
2022,"New South Wales",89511
2022,"Victoria",73870
2022,"Queensland",113087
2022,"South Australia",26016
2022,"Western Australia",37076
2022,"Tasmania",13453
2022,"Northern Territory",14626
2022,"Australian Capital Territory",20439
2023,"New South Wales",82034
2023,"Victoria",74768
2023,"Queensland",107496
2023,"South Australia",24203
2023,"Western Australia",36428
2023,"Tasmania",12534
2023,"Northern Territory",13736
2023,"Australian Capital Territory",19603
