"Year","State","Arrival","Departure","Net"
2013,"New South Wales",89231,-100551,-11320
2013,"Victoria",74669,-66073,8596
2013,"Queensland",90798,-83372,7426
2013,"South Australia",22399,-27144,-4745
2013,"Western Australia",36386,-34277,2109
2013,"Tasmania",11620,-12380,-760
2013,"Northern Territory",15725,-17261,-1536
2013,"Australian Capital Territory",19241,-19011,230
2014,"New South Wales",88129,-93711,-5582
2014,"Victoria",73951,-63710,10241
2014,"Queensland",85417,-79238,6179
2014,"South Australia",21707,-25364,-3657
2014,"Western Australia",31558,-34545,-2987
2014,"Tasmania",10815,-11439,-624
2014,"Northern Territory",14779,-17218,-2439
2014,"Australian Capital Territory",17531,-18662,-1131
2015,"New South Wales",90858,-99761,-8903
2015,"Victoria",78255,-64310,13945
2015,"Queensland",88883,-80142,8741
2015,"South Australia",21386,-27140,-5754
2015,"Western Australia",29540,-36140,-6600
2015,"Tasmania",11832,-11213,619
2015,"Northern Territory",14858,-16939,-2081
2015,"Australian Capital Territory",19642,-19617,25
2016,"New South Wales",104488,-117806,-13318
2016,"Victoria",92027,-74921,17106
2016,"Queensland",105390,-90768,14622
2016,"South Australia",24143,-31836,-7693
2016,"Western Australia",31272,-43270,-11998
2016,"Tasmania",14085,-12661,1424
2016,"Northern Territory",16538,-18607,-2069
2016,"Australian Capital Territory",23017,-21106,1911
2017,"New South Wales",112397,-132380,-19983
2017,"Victoria",95842,-84578,11264
2017,"Queensland",119505,-97040,22465
2017,"South Australia",27248,-32666,-5418
2017,"Western Australia",33684,-44555,-10871
2017,"Tasmania",16094,-13747,2347
2017,"Northern Territory",17210,-19325,-2115
2017,"Australian Capital Territory",25221,-22910,2311
2018,"New South Wales",115009,-138420,-23411
2018,"Victoria",98630,-90632,7998
2018,"Queensland",124207,-100783,23424
2018,"South Australia",29395,-33082,-3687
2018,"Western Australia",36327,-42826,-6499
2018,"Tasmania",17417,-14373,3044
2018,"Northern Territory",17590,-20699,-3109
2018,"Australian Capital Territory",26169,-23929,2240
2019,"New South Wales",116302,-140915,-24613
2019,"Victoria",98782,-94820,3962
2019,"Queensland",127808,-104853,22955
2019,"South Australia",30740,-33625,-2885
2019,"Western Australia",39962,-41108,-1146
2019,"Tasmania",16999,-15647,1352
2019,"Northern Territory",18757,-20911,-2154
2019,"Australian Capital Territory",26991,-24462,2529
2020,"New South Wales",77389,-104430,-27041
2020,"Victoria",57615,-79027,-21412
2020,"Queensland",98152,-65808,32344
2020,"South Australia",24072,-21724,2348
2020,"Western Australia",31017,-23478,7539
2020,"Tasmania",13875,-11242,2633
2020,"Northern Territory",14593,-14484,109
2020,"Australian Capital Territory",21279,-17799,3480
2021,"New South Wales",107830,-150694,-42864
2021,"Victoria",89590,-114249,-24659
2021,"Queensland",147605,-96544,51061
2021,"South Australia",34574,-32264,2310
2021,"Western Australia",47059,-34335,12724
2021,"Tasmania",19313,-17221,2092
2021,"Northern Territory",19528,-21938,-2410
2021,"Australian Capital Territory",27632,-25886,1746
2022,"New South Wales",89511,-121071,-31560
2022,"Victoria",73870,-83825,-9955
2022,"Queensland",113087,-78542,34545
2022,"South Australia",26016,-25346,670
2022,"Western Australia",37076,-26483,10593
2022,"Tasmania",13453,-14394,-941
2022,"Northern Territory",14626,-16750,-2124
2022,"Australian Capital Territory",20439,-21667,-1228
2023,"New South Wales",82034,-113712,-31678
2023,"Victoria",74768,-75043,-275
2023,"Queensland",107496,-75901,31595
2023,"South Australia",24203,-25492,-1289
2023,"Western Australia",36428,-25719,10709
2023,"Tasmania",12534,-15805,-3271
2023,"Northern Territory",13736,-17693,-3957
2023,"Australian Capital Territory",19603,-21437,-1834
