"Year","State","Median_Age_Group"
2013,"Australian Capital Territory","35-39"
2013,"New South Wales","35-39"
2013,"Northern Territory","30-34"
2013,"Queensland","35-39"
2013,"South Australia","40-44"
2013,"Tasmania","40-44"
2013,"Victoria","35-39"
2013,"Western Australia","35-39"
2014,"Australian Capital Territory","35-39"
2014,"New South Wales","35-39"
2014,"Northern Territory","30-34"
2014,"Queensland","35-39"
2014,"South Australia","40-44"
2014,"Tasmania","40-44"
2014,"Victoria","35-39"
2014,"Western Australia","35-39"
2015,"Australian Capital Territory","35-39"
2015,"New South Wales","35-39"
2015,"Northern Territory","30-34"
2015,"Queensland","35-39"
2015,"South Australia","40-44"
2015,"Tasmania","40-44"
2015,"Victoria","35-39"
2015,"Western Australia","35-39"
2016,"Australian Capital Territory","35-39"
2016,"New South Wales","35-39"
2016,"Northern Territory","30-34"
2016,"Queensland","35-39"
2016,"South Australia","40-44"
2016,"Tasmania","40-44"
2016,"Victoria","35-39"
2016,"Western Australia","35-39"
2017,"Australian Capital Territory","35-39"
2017,"New South Wales","35-39"
2017,"Northern Territory","30-34"
2017,"Queensland","35-39"
2017,"South Australia","40-44"
2017,"Tasmania","40-44"
2017,"Victoria","35-39"
2017,"Western Australia","35-39"
2018,"Australian Capital Territory","35-39"
2018,"New South Wales","35-39"
2018,"Northern Territory","30-34"
2018,"Queensland","40-44"
2018,"South Australia","40-44"
2018,"Tasmania","40-44"
2018,"Victoria","35-39"
2018,"Western Australia","35-39"
2019,"Australian Capital Territory","35-39"
2019,"New South Wales","40-44"
2019,"Northern Territory","30-34"
2019,"Queensland","40-44"
2019,"South Australia","40-44"
2019,"Tasmania","40-44"
2019,"Victoria","35-39"
2019,"Western Australia","35-39"
2020,"Australian Capital Territory","35-39"
2020,"New South Wales","40-44"
2020,"Northern Territory","30-34"
2020,"Queensland","40-44"
2020,"South Australia","40-44"
2020,"Tasmania","40-44"
2020,"Victoria","35-39"
2020,"Western Australia","35-39"
2021,"Australian Capital Territory","35-39"
2021,"New South Wales","40-44"
2021,"Northern Territory","35-39"
2021,"Queensland","40-44"
2021,"South Australia","40-44"
2021,"Tasmania","40-44"
2021,"Victoria","35-39"
2021,"Western Australia","40-44"
2022,"Australian Capital Territory","35-39"
2022,"New South Wales","40-44"
2022,"Northern Territory","35-39"
2022,"Queensland","40-44"
2022,"South Australia","40-44"
2022,"Tasmania","40-44"
2022,"Victoria","35-39"
2022,"Western Australia","40-44"
2023,"Australian Capital Territory","35-39"
2023,"New South Wales","40-44"
2023,"Northern Territory","35-39"
2023,"Queensland","40-44"
2023,"South Australia","40-44"
2023,"Tasmania","40-44"
2023,"Victoria","35-39"
2023,"Western Australia","35-39"
