"Age","State","Male_Population","Female_Population"
"0–4","New South Wales","246,319","231,823"
"0–4","Victoria","197,705","188,625"
"0–4","Queensland","158,426","149,734"
"0–4","South Australia","49,794","47,573"
"0–4","Western Australia","87,120","82,308"
"0–4","Tasmania","14,980","14,163"
"0–4","Northern Territory","8,781","8,207"
"0–4","Australian Capital Territory","13,488","12,849"
"5–9","New South Wales","256,731","242,247"
"5–9","Victoria","210,206","198,813"
"5–9","Queensland","172,571","163,095"
"5–9","South Australia","53,930","51,178"
"5–9","Western Australia","94,746","89,247"
"5–9","Tasmania","16,195","15,237"
"5–9","Northern Territory","9,055","8,433"
"5–9","Australian Capital Territory","14,648","13,871"
"10–14","New South Wales","265,953","250,358"
"10–14","Victoria","210,139","199,280"
"10–14","Queensland","184,038","174,706"
"10–14","South Australia","56,377","53,340"
"10–14","Western Australia","94,587","89,417"
"10–14","Tasmania","17,298","16,286"
"10–14","Northern Territory","8,921","8,456"
"10–14","Australian Capital Territory","14,438","13,698"
"15–19","New South Wales","259,846","241,414"
"15–19","Victoria","206,746","195,404"
"15–19","Queensland","178,920","168,258"
"15–19","South Australia","55,471","52,572"
"15–19","Western Australia","90,087","84,424"
"15–19","Tasmania","17,062","15,689"
"15–19","Northern Territory","8,316","7,614"
"15–19","Australian Capital Territory","13,781","12,761"
"20–24","New South Wales","287,850","261,049"
"20–24","Victoria","234,719","219,126"
"20–24","Queensland","178,740","172,649"
"20–24","South Australia","59,911","54,828"
"20–24","Western Australia","91,805","84,877"
"20–24","Tasmania","15,727","14,705"
"20–24","Northern Territory","9,091","8,111"
"20–24","Australian Capital Territory","18,466","18,382"
"25–29","New South Wales","303,709","295,103"
"25–29","Victoria","262,726","253,575"
"25–29","Queensland","190,619","189,825"
"25–29","South Australia","64,274","61,771"
"25–29","Western Australia","103,579","98,398"
"25–29","Tasmania","19,236","18,895"
"25–29","Northern Territory","11,391","11,851"
"25–29","Australian Capital Territory","20,363","20,734"
"30–34","New South Wales","306,501","309,957"
"30–34","Victoria","263,667","270,522"
"30–34","Queensland","190,586","196,022"
"30–34","South Australia","63,300","63,402"
"30–34","Western Australia","107,329","107,688"
"30–34","Tasmania","20,716","20,286"
"30–34","Northern Territory","12,110","12,549"
"30–34","Australian Capital Territory","20,682","20,733"
"35–39","New South Wales","296,996","300,804"
"35–39","Victoria","258,300","261,772"
"35–39","Queensland","185,888","192,790"
"35–39","South Australia","62,187","63,543"
"35–39","Western Australia","110,822","109,891"
"35–39","Tasmania","18,442","18,643"
"35–39","Northern Territory","10,799","10,895"
"35–39","Australian Capital Territory","18,668","19,123"
"40–44","New South Wales","275,138","278,752"
"40–44","Victoria","230,385","234,168"
"40–44","Queensland","176,226","183,851"
"40–44","South Australia","57,074","58,535"
"40–44","Western Australia","100,895","99,877"
"40–44","Tasmania","16,338","17,147"
"40–44","Northern Territory","9,039","9,091"
"40–44","Australian Capital Territory","16,969","17,286"
"45–49","New South Wales","248,412","254,214"
"45–49","Victoria","203,570","209,230"
"45–49","Queensland","165,525","172,327"
"45–49","South Australia","53,378","54,263"
"45–49","Western Australia","89,860","88,919"
"45–49","Tasmania","15,781","16,388"
"45–49","Northern Territory","7,776","7,736"
"45–49","Australian Capital Territory","14,407","14,457"
"50–54","New South Wales","254,445","263,163"
"50–54","Victoria","206,708","217,738"
"50–54","Queensland","174,611","180,747"
"50–54","South Australia","57,972","59,398"
"50–54","Western Australia","93,541","92,022"
"50–54","Tasmania","17,875","18,876"
"50–54","Northern Territory","8,031","7,781"
"50–54","Australian Capital Territory","13,770","14,142"
"55–59","New South Wales","232,035","239,749"
"55–59","Victoria","185,775","195,654"
"55–59","Queensland","156,260","162,391"
"55–59","South Australia","55,327","57,317"
"55–59","Western Australia","83,964","83,909"
"55–59","Tasmania","17,354","18,543"
"55–59","Northern Territory","6,902","6,718"
"55–59","Australian Capital Territory","11,440","11,853"
"60–64","New South Wales","233,692","246,104"
"60–64","Victoria","180,014","192,474"
"60–64","Queensland","153,193","161,776"
"60–64","South Australia","56,158","59,713"
"60–64","Western Australia","79,592","81,677"
"60–64","Tasmania","19,232","20,288"
"60–64","Northern Territory","6,139","5,904"
"60–64","Australian Capital Territory","10,269","11,147"
"65–69","New South Wales","202,405","218,999"
"65–69","Victoria","155,573","171,102"
"65–69","Queensland","132,127","141,325"
"65–69","South Australia","49,882","54,228"
"65–69","Western Australia","67,359","71,867"
"65–69","Tasmania","17,362","18,502"
"65–69","Northern Territory","4,661","4,405"
"65–69","Australian Capital Territory","8,406","9,762"
"70–74","New South Wales","175,502","190,260"
"70–74","Victoria","133,205","149,029"
"70–74","Queensland","117,100","124,336"
"70–74","South Australia","44,457","49,227"
"70–74","Western Australia","57,544","61,540"
"70–74","Tasmania","15,564","16,358"
"70–74","Northern Territory","3,418","3,112"
"70–74","Australian Capital Territory","7,582","9,025"
"75–79","New South Wales","142,755","154,540"
"75–79","Victoria","107,373","120,439"
"75–79","Queensland","93,796","99,557"
"75–79","South Australia","35,872","40,259"
"75–79","Western Australia","44,901","47,487"
"75–79","Tasmania","12,252","13,055"
"75–79","Northern Territory","2,144","1,995"
"75–79","Australian Capital Territory","6,200","7,260"
"80–84","New South Wales","86,944","101,565"
"80–84","Victoria","66,998","79,747"
"80–84","Queensland","54,285","61,685"
"80–84","South Australia","21,597","26,341"
"80–84","Western Australia","26,975","30,912"
"80–84","Tasmania","7,324","8,191"
"80–84","Northern Territory","1,138","1,096"
"80–84","Australian Capital Territory","3,599","4,518"
"85–89","New South Wales","48,656","65,922"
"85–89","Victoria","37,849","51,811"
"85–89","Queensland","27,719","36,510"
"85–89","South Australia","12,334","16,911"
"85–89","Western Australia","14,610","19,521"
"85–89","Tasmania","3,753","4,958"
"85–89","Northern Territory","396","509"
"85–89","Australian Capital Territory","1,932","2,801"
"90–94","New South Wales","20,359","34,004"
"90–94","Victoria","15,646","26,837"
"90–94","Queensland","10,692","18,127"
"90–94","South Australia","5,273","8,912"
"90–94","Western Australia","5,816","9,686"
"90–94","Tasmania","1,422","2,498"
"90–94","Northern Territory","153","212"
"90–94","Australian Capital Territory","835","1,301"
"95–99","New South Wales","4,813","11,038"
"95–99","Victoria","3,859","8,637"
"95–99","Queensland","2,502","5,780"
"95–99","South Australia","1,391","3,089"
"95–99","Western Australia","1,379","2,958"
"95–99","Tasmania","290","678"
"95–99","Northern Territory","42","68"
"95–99","Australian Capital Territory","194","414"
"100 and over","New South Wales","425","1,549"
"100 and over","Victoria","347","1,096"
"100 and over","Queensland","209","830"
"100 and over","South Australia","147","457"
"100 and over","Western Australia","154","443"
"100 and over","Tasmania","31","86"
"100 and over","Northern Territory","8","7"
"100 and over","Australian Capital Territory","23","54"
"All ages","New South Wales","4,149,486","4,192,614"
"All ages","Victoria","3,371,510","3,445,079"
"All ages","Queensland","2,704,033","2,756,321"
"All ages","South Australia","916,106","936,857"
"All ages","Western Australia","1,446,665","1,437,068"
"All ages","Tasmania","284,234","289,472"
"All ages","Northern Territory","128,311","124,750"
"All ages","Australian Capital Territory","230,160","236,171"
